,SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Active_case
0,1,01/22/2020,Anhui,China,1/22/2020 17:00,1,0,0,1
1,2,01/22/2020,Beijing,China,1/22/2020 17:00,14,0,0,14
2,3,01/22/2020,Chongqing,China,1/22/2020 17:00,6,0,0,6
3,4,01/22/2020,Fujian,China,1/22/2020 17:00,1,0,0,1
4,5,01/22/2020,Gansu,China,1/22/2020 17:00,0,0,0,0
5,6,01/22/2020,Guangdong,China,1/22/2020 17:00,26,0,0,26
6,7,01/22/2020,Guangxi,China,1/22/2020 17:00,2,0,0,2
7,8,01/22/2020,Guizhou,China,1/22/2020 17:00,1,0,0,1
8,9,01/22/2020,Hainan,China,1/22/2020 17:00,4,0,0,4
9,10,01/22/2020,Hebei,China,1/22/2020 17:00,1,0,0,1
10,11,01/22/2020,Heilongjiang,China,1/22/2020 17:00,0,0,0,0
11,12,01/22/2020,Henan,China,1/22/2020 17:00,5,0,0,5
12,13,01/22/2020,Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0,0
13,14,01/22/2020,Hubei,China,1/22/2020 17:00,444,17,28,399
14,15,01/22/2020,Hunan,China,1/22/2020 17:00,4,0,0,4
15,16,01/22/2020,Inner Mongolia,China,1/22/2020 17:00,0,0,0,0
16,17,01/22/2020,Jiangsu,China,1/22/2020 17:00,1,0,0,1
17,18,01/22/2020,Jiangxi,China,1/22/2020 17:00,2,0,0,2
18,19,01/22/2020,Jilin,China,1/22/2020 17:00,0,0,0,0
19,20,01/22/2020,Liaoning,China,1/22/2020 17:00,2,0,0,2
20,21,01/22/2020,Macau,Macau,1/22/2020 17:00,1,0,0,1
21,22,01/22/2020,Ningxia,China,1/22/2020 17:00,1,0,0,1
22,23,01/22/2020,Qinghai,China,1/22/2020 17:00,0,0,0,0
23,24,01/22/2020,Shaanxi,China,1/22/2020 17:00,0,0,0,0
24,25,01/22/2020,Shandong,China,1/22/2020 17:00,2,0,0,2
25,26,01/22/2020,Shanghai,China,1/22/2020 17:00,9,0,0,9
26,27,01/22/2020,Shanxi,China,1/22/2020 17:00,1,0,0,1
27,28,01/22/2020,Sichuan,China,1/22/2020 17:00,5,0,0,5
28,29,01/22/2020,Taiwan,Taiwan,1/22/2020 17:00,1,0,0,1
29,30,01/22/2020,Tianjin,China,1/22/2020 17:00,4,0,0,4
30,31,01/22/2020,Tibet,China,1/22/2020 17:00,0,0,0,0
31,32,01/22/2020,Washington,US,1/22/2020 17:00,1,0,0,1
32,33,01/22/2020,Xinjiang,China,1/22/2020 17:00,0,0,0,0
33,34,01/22/2020,Yunnan,China,1/22/2020 17:00,1,0,0,1
34,35,01/22/2020,Zhejiang,China,1/22/2020 17:00,10,0,0,10
35,36,01/22/2020,unknown,Japan,1/22/2020 17:00,2,0,0,2
36,37,01/22/2020,unknown,Thailand,1/22/2020 17:00,2,0,0,2
